CLUSTER_ID,user_address,block_time,date_time_part,source_chain_name,source_bridge_contract,destination_chain_name,destination_bridge_contract,currency_symbol,amount_original,total_times,asset_value_from_debank,total_usd_value,active_source_chain_count,active_destination_chain_count,active_transaction_contract_count,active_days_count,active_weeks_count,active_months_count,last_block_time,last_tx_source_chain_name,last_tx_source_bridge_contract,last_tx_destination_chain_name,last_tx_destination_bridge_contract,last_tx_currency_symbol,last_tx_amount_original
2,0xb07f4c42820bd98fa838a53eec1fba2efbdf6cd3,2022-11-14 17:27:32.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,74,2258,19799.42,8,17,20,29,13,9,2024-04-04 18:59:32.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0xc4cf5e412f7a789c0dc1a80133460ed81f062775,2022-11-14 17:28:03.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,71,2256,18358.12,8,17,20,30,13,9,2024-04-04 19:42:08.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0xb0892571d99393ff49f65e1d6d8a7c71e04cfa9a,2022-11-14 17:28:32.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,71,2240,18904.93,8,17,20,30,13,9,2024-04-04 21:43:19.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0xc099bde01eb5fc1831775953fe78b12d24c9da1a,2022-11-14 17:29:01.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,66,2251,16470.06,8,17,20,30,13,9,2024-04-04 20:06:55.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x734c0e11e18a95852ad5bc1ad8012e9bf0052d03,2022-11-14 17:29:25.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,70,2242,18434.14,8,18,20,30,13,9,2024-04-04 19:02:23.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0xacea5c00dd3896b7f0846ec7fc62b6283caa08a9,2022-11-14 17:29:51.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,70,2242,18425.33,8,17,20,30,13,9,2024-04-04 21:54:16.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x1d7f7bf841b6a7a30aef0b97848befa844105190,2022-11-14 17:30:57.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,72,2245,19399.82,8,17,19,30,13,9,2024-04-04 22:28:35.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0xecf4f23248b040c191c2b8e43af867a98a6d6a98,2022-11-14 17:31:24.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,70,2243,18924.54,8,17,20,30,13,9,2024-04-04 21:59:37.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x4e32a3a2abeadeff7b3c7a49a52c4d92b3219cd0,2022-11-14 17:31:48.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,68,2247,17441.91,8,17,19,29,13,9,2024-04-04 21:34:07.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x2b0459addddbd01273e23c0f03ea0ba599297416,2022-11-14 17:32:14.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,67,2252,16962.35,8,17,20,30,13,9,2024-04-04 19:57:05.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x9e7da17e00bffb40c340469dda60a1db6ba0eea8,2022-11-14 17:32:39.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,67,2265,16439.09,8,17,20,30,13,9,2024-04-04 22:14:05.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x4701dabf69229d87edaae507c4255291ac90d6ea,2022-11-14 17:33:02.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,69,2237,17943.31,8,17,20,30,13,9,2024-04-04 19:34:05.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x5c784d4079cb5ff32b36f2028f178d46eeb68090,2022-11-14 17:33:28.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,66,2249,16441.7,8,17,20,29,13,9,2024-04-04 22:39:53.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0x12bd1d615b6247613edd8580076c8a652aa1772b,2022-11-14 17:33:52.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,71,2248,18919.5,8,18,20,29,13,9,2024-04-04 18:47:22.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
2,0xd2f3ca4e1d040305434ba6adf1ec0dac9e4031dd,2022-11-14 17:34:16.000 UTC,2022-11-14 17,Arbitrum,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,Optimism,0x701a95707a0290ac8b90b3719e8ee5b210360883,USDT,600,65,2255,15973.24,8,17,19,29,13,9,2024-04-04 20:13:13.000 UTC,BNB Chain,0x128aedc7f41ffb82131215e1722d8366faad0cd4,Harmony,0x7ffd57563ef54c464f23b5497dd1f54481e4c008,BNB,2.82E-05
